id,kod,ad,tip
3966,ACSEL,Acıselsan Acıpayam Selüloz Sanayi ve Ticaret A.Ş.,Hisse
9,ADEL,Adel Kalemcilik Ticaret Ve Sanayi A.Ş.,Hisse
3025,ADESE,Adese Gayrimenkul Yatırım A.Ş.,Hisse
12,AEFES,Anadolu Efes Biracılık Ve Malt Sanayii A.Ş.,Hisse
16,AFYON,Afyon Çimento Sanayi Türk .A.Ş.,Hisse
75932,AGESA,AGESA HAYAT VE EMEKLİLİK A.Ş,Hisse
613,AGHOL,AG Anadolu Grubu Holding A.Ş.,Hisse
18,AGYO,Atakule Gayrimenkul Yatırım Ortaklığı A.Ş.,Hisse
87991,AHGAZ,AHLATÇI DOĞAL GAZ,Hisse
20,AKBNK,Akbank T.A.Ş.,Hisse
21,AKCNS,Akçansa Çimento Sanayi Ve Ticaret A.Ş.,Hisse
22,AKENR,Akenerji Elektrik Üretim A.Ş.,Hisse
2617,AKFGY,Akfen Gayrimenkul Yatırım Ortaklığı A.Ş.,Hisse
24,AKGRT,Aksigorta A.Ş.,Hisse
1107,AKMGY,Akmerkez Gayrimenkul Yatırım Ortaklığı A.Ş.,Hisse
26,AKSA,Aksa Akrilik Kimya Sanayii A.Ş.,Hisse
2209,AKSEN,Aksa Enerji Üretim A.Ş.,Hisse
5344,AKSGY,Akiş Gayrimenkul Yatırım Ortaklığı A.Ş.,Hisse
27,AKSUE,Aksu Enerji Ve Ticaret A.Ş.,Hisse
71025,AKYHO,AKDENIZ YATIRIM HOLDING,Hisse
29,ALARK,Alarko Holding A.Ş.,Hisse
1558,ALBRK,Albaraka Türk Katılım Bankası A.Ş.,Hisse
30,ALCAR,Alarko Carrier Sanayi Ve Ticaret A.Ş.,Hisse
31,ALCTL,Alcatel Lucent Teletaş Telekomünikasyon A.Ş.,Hisse
87314,ALFAS,ALFA SOLAR ENERJİ,Hisse
32,ALGYO,Alarko Gayrimenkul Yatırım Ortaklığı A.Ş.,Hisse
33,ALKA,Alkim Kağit Sanayi ve Ticaret A.Ş.,Hisse
34,ALKIM,Alkim Alkali Kimya A.Ş.,Hisse
71279,ALMAD,ALTINYAĞ,Hisse
2218,ANELE,Anel Elektrik Proje Taahhüt ve Ticaret A.Ş.,Hisse
77230,ANGEN,ANATOLIA TANI,Hisse
41,ANHYT,Anadolu Hayat Emeklilik A.Ş.,Hisse
42,ANSGR,Anadolu Anonim Türk Sigorta Şirketi,Hisse
77513,ARASE,DOĞU ARAS ENERJİ,Hisse
44,ARCLK,Arçelik A.Ş.,Hisse
69510,ARDYZ,ARD BİLİŞİM TEKNOLOJİLERİ,Hisse
45,ARENA,Arena Bilgisayar Sanayi ve Ticaret A.Ş.,Hisse
1356,ARMDA,Armada Bilgisayar Sistemleri Sanayi ve Ticaret Ano,Hisse
47,ARSAN,Arsan Tekstil Ticaret Ve Sanayi A.Ş.,Hisse
72858,ARZUM,ARZUM ELEKTRİKLİ EV ALETLERİ,Hisse
49,ASELS,Aselsan Elektronik Sanayi Ve Ticaret A.Ş.,Hisse
51,ASUZU,Anadolu Isuzu Otomotiv Sanayi Ve Ticaret A.Ş.,Hisse
53,ATAGY,Ata Gayrimenkul Yatırım Ortaklığı A.Ş.,Hisse
75178,ATATP,ATP BILGISAYAR,Hisse
54,ATEKS,Akın Tekstil A.Ş.,Hisse
55,ATLAS,Atlas Menkul Kıymetler Yatırım Ortaklığı A.Ş.,Hisse
57,ATSYH,Atlantis Yatırım Holding A.Ş.,Hisse
59,AVGYO,Avrasya Gayrimenkul Yatırım Ortaklığı A.Ş.,Hisse
4374,AVHOL,Avrupa Yatırım Holding A.Ş.,Hisse
3084,AVOD,A.V.O.D. Kurutulmuş Gıda ve Tarım Ürünleri A.Ş.,Hisse
1541,AVTUR,Avrasya Petrol ve Turistik Tesisler Yatırım A.Ş.,Hisse
60,AYCES,Altınyunus Çeşme Turistik Tesisler A.Ş.,Hisse
74411,AYDEM,AYDEM ENERJİ,Hisse
61,AYEN,Ayen Enerji A.Ş.,Hisse
3979,AYES,Ayes Çelik Hasır Ve Çit Sanayi A.Ş.,Hisse
62,AYGAZ,Aygaz A.Ş.,Hisse
84540,AZTEK,AZTEK TEKNOLOJİ,Hisse
64,BAGFS,Bağfaş Bandırma Gubre Fabrikaları A.Ş.,Hisse
65,BAKAB,Bak Ambalaj Sanayi Ve Ticaret A.Ş.,Hisse
4046,BALAT,Balatacılar Balatacılık Sanayi ve Ticaret A.Ş.,Hisse
67,BANVT,Banvit Bandırma Vitaminli Yem Sanayii A.Ş.,Hisse
83909,BARMA,BAREM AMBALAJ,Hisse
